,ticker,cc_return,bh_return,vs_bh,final_value,premium_total,weeks,exercised,exercise_pct,max_drawdown
123,TRV,109.93,112.64,-2.71,20992.95,2083.26,261,8,3.1,19.51
124,HCA,107.85,113.88,-6.03,20785.13,6122.58,261,19,7.3,34.57
125,MSI,107.84,114.33,-6.49,20784.5,2822.77,261,11,4.2,25.69
126,RCL,107.12,205.22,-98.1,20712.14,18356.14,261,56,21.5,63.27
127,HAL,106.95,109.77,-2.83,20694.69,16383.02,261,41,15.7,52.43
128,ATO,106.77,105.69,1.08,20677.47,809.91,261,7,2.7,18.7
129,CTVA,105.83,93.51,12.32,20583.0,4348.06,261,11,4.2,33.68
130,PLTR,102.97,555.7,-452.73,20297.16,31018.12,261,70,26.8,76.99
131,GILD,102.7,125.27,-22.58,20269.72,3053.04,261,10,3.8,24.86
132,CTAS,102.11,109.26,-7.15,20210.72,2932.03,261,13,5.0,26.78
133,PFG,101.4,88.69,12.71,20139.9,3993.45,261,12,4.6,25.46
134,TT,100.65,171.51,-70.85,20065.11,4348.14,261,25,9.6,38.63
135,CNP,100.18,90.59,9.59,20017.81,1103.19,261,7,2.7,22.42
136,WFC,99.95,83.44,16.52,19995.44,6474.36,261,23,8.8,32.65
137,APO,99.8,160.22,-60.43,19979.57,12634.86,261,41,15.7,43.83
138,L,99.17,90.4,8.77,19917.1,1220.59,261,5,1.9,25.72
139,SNPS,97.3,103.68,-6.38,19730.13,16623.98,261,38,14.6,41.65
140,SLB,96.83,100.5,-3.67,19682.64,12505.66,261,41,15.7,46.36
141,SPG,95.53,113.37,-17.84,19552.75,3556.93,261,21,8.0,45.28
142,FOX,95.53,75.05,20.47,19552.75,3446.4,261,12,4.6,31.97
143,AMP,94.08,100.77,-6.69,19407.68,5331.38,261,17,6.5,29.25
144,ALL,92.27,83.4,8.87,19227.04,3148.99,261,14,5.4,25.08
145,AIZ,91.48,79.14,12.34,19147.63,3088.78,261,12,4.6,40.51
146,ROST,90.17,82.19,7.98,19017.07,4272.26,261,16,6.1,39.5
147,KEYS,90.02,141.42,-51.4,19002.45,7085.66,261,24,9.2,42.57
148,GD,88.85,101.96,-13.11,18884.92,1743.89,261,9,3.4,21.76
149,IBM,88.64,96.93,-8.29,18864.05,5100.39,261,13,5.0,29.83
